#=================================================================,,,,,,,,,,,,,
# Freeform,,,,,,,,,,,,,
# Date: Apr 21 2019 - May 18 2019,,,,,,,,,,,,,
#=================================================================,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
##############################################,,,,,,,,,,,,,
# Freeform Table,,,,,,,,,,,,,
##############################################,,,,,,,,,,,,,
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Orders,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Orders,Visits,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),54996,761232,37483,456057,172083,548.3313288,431.9463942,9746005,8221,27966,14617,14618,88794
(Low Traffic),30756,737801,36489,444347,165885,469.7484212,451.8636994,7231471,6332,23304,9232,12551,69841
37a737c892744707a5d6790c7ad1f153,57,1,0,1,0,5895,1965,1299,0,0,0,0,0
7d675ecafd664bf29682f409a62a1e22,56,1,0,1,0,5695,1898.333333,1334,0,0,0,0,58
0f5f5e827ee04fc09515ee6aff6fe0a2,56,1,0,1,0,4428,1107,1373,0,0,0,0,63
0f6aab8ae6a840369eef3e776b6514da,55,1,0,1,0,5748,1149.6,1292,0,0,0,0,0
6db52a0bae524f8291088c816dbdbb63,55,1,0,1,0,4492,4492,1197,0,0,0,0,54
e104762c5ae24cc79cc44a174f8cf1e8,55,1,0,1,0,4132,826.4,1360,0,0,0,0,62
04c75df5ccd94bc49bbdf53a1ad85594,55,1,0,1,0,3975,795,1327,0,0,0,0,58
2775a94a528a4da684c6a10d980e23e1,54,1,0,1,0,4259,709.8333333,1311,0,0,0,0,60
b61e1e32b20148fdb9c86c10d94f5c53,52,1,0,1,0,6763,1127.166667,1301,0,0,0,0,1
db6beb61206b4e7b94a4c93165af746c,48,1,0,1,0,4135,1378.333333,1157,0,0,0,0,0
56ce494ed9344c8c9314895ebc0e17af,45,1,0,1,0,3568,1784,1042,0,0,0,0,0
e27a8c4fa47d4cebae3a5171e917fedb,43,1,0,1,0,2404,1202,903,0,0,0,0,44
d0a0ef282c5c4b7985a58d0f6d4d0b75,41,1,0,1,0,3298,1649,973,0,0,0,0,0
4fba68db8bdc4e728355b270baba8c67,40,1,0,1,0,4361,4361,917,0,0,0,0,43
e54e38b8d0e2400181e19b23ba95cbfb,39,1,0,1,0,4006,2003,953,0,0,0,0,41
2af0f3ad4b9e434d8da7e8cf84f6b985,36,1,0,1,0,3048,1524,816,0,0,0,0,37
a505c6f8df834c2691a0555caff5a98a,33,2,0,2,0,1943.5,121.46875,904,0,0,0,0,38
91de848479d746608567bf64f4fb8766,33,1,0,1,0,2395,2395,735,0,0,0,0,35
733ac4161d0340a0a9737807ede8f5f4,33,1,0,1,0,1927,1927,732,0,0,0,0,34
0836072355144a049f33de79122aeccd,32,1,0,0,0,2406,2406,785,0,0,0,0,35
f76b1b1768704ee5b20816f49b531053,29,1,0,1,0,2585,430.8333333,719,0,0,0,0,0
9c63819ca1464dd1a8506ecdeb0348d2,28,1,0,1,0,2382,794,685,0,0,0,0,32
7a5caaa5f9f148de980918258bbab82e,28,1,0,1,0,1817,302.8333333,767,0,0,0,0,34
c14dcc058e4a4e4fb696546130d73f89,25,1,0,1,0,2227,2227,544,0,0,0,0,25
bc3f396ff8d74aea87e5f3d8341dca06,24,1,0,1,0,1878,1878,553,0,0,0,0,25
ae679f7ce3d9470780422c016c76da66,22,1,0,1,0,1868,934,522,0,0,0,0,0
6f0fde7a9bee4d3887236a622308c504,18,1,0,1,0,1812,1812,408,0,0,0,0,19
c456fc18cfeb4ece83f342f9d12be825,18,1,0,1,0,1601,1601,453,0,0,0,0,0
181023601b784407b5507f954d6586ec,18,1,0,1,0,1233,1233,421,0,0,0,0,0
09611ef948474652a364ce99b4c53db3,18,1,0,1,0,1082,541,400,0,0,0,0,0
e4e8a79353354e9c84b18815a250c7e6,17,1,0,1,0,1747,582.3333333,413,0,0,0,0,0
e0d39bacf60c4e119dae9ee2e7b25161,16,1,0,1,0,1499,299.8,416,0,0,0,0,1
991b8df02d4a4ec886f3a014b23b3cf5,16,1,0,0,0,15469,5156.333333,355,0,0,0,0,0
e7cc1dd3ba3f438db96ed94483258d78,15,1,0,1,0,1324,662,362,0,0,0,0,19
14299515a20442869cfa3f61aea89817,15,1,0,1,0,1164,1164,335,0,0,0,0,15
20f3b65c6e2544cc8f9a3508df766538,15,1,0,1,0,910,227.5,334,0,0,0,0,0
cb2144f1b5bd43aa923d6348397932ab,14,1,0,1,0,1240,248,415,0,0,0,0,17
7a5b2b395e4f43febc16cd02fbf833eb,14,1,0,1,0,903,903,283,0,0,0,0,13
d7b5826a2fb64749b3aaa1aa68e3e52d,13,1,0,1,0,946,473,318,0,0,0,0,0
cf8ed752f6484a12b2ccbfcaedbf7dfb,13,1,0,1,0,885,295,288,0,0,0,0,0
78e69fe2a6a7445094634a506f168e92,12,2,0,1,0,963.5,642.3333333,350,0,0,0,0,15
7b1ecb78e71d4778a7d0b7e862ded4b3,12,1,0,1,0,1154,384.6666667,341,0,0,0,0,16
ed2099da1c1243028cd2ebd0d105b63f,12,1,0,1,0,771,771,273,0,0,0,0,12
950048d742f6483cb47e48c86b1b9242,12,1,0,1,0,691,691,280,0,0,0,0,0
8c1762011251429c8fef102f6d87d967,11,1,0,1,0,1114,278.5,334,0,0,0,0,0
cdc33df87f4944989744bda83cb831a4,11,1,0,1,0,772,386,272,0,0,0,0,12
27701f124230486087fae59fc6ab33b1,11,1,0,1,0,752,250.6666667,280,0,0,0,0,14
f65a57c4f0ac405884f1a948e56f113c,11,1,0,1,0,585,292.5,251,0,0,0,0,0
085164fa217748cc961c253089bf3e72,11,1,0,0,0,1558,173.1111111,506,0,0,0,0,20
a184e53077c643df96752d87cd8a2e55,10,26,0,12,10,5263.884615,5068.925926,2300,2,0,0,0,12
a347038a0778447c98dacc8a7910b5dc,10,1,0,1,0,730,146,237,0,0,0,0,10
bcc35cb937b041bd8db61af046f5bcd7,10,1,0,1,0,695,695,241,0,0,0,0,0
1f1e0f7148bb4f5c97d3ca8e24f81e11,9,1,0,1,0,900,300,221,0,0,0,0,0
a8c1cd37c00946b2a863d0280074a875,9,1,0,1,0,835,417.5,202,0,0,0,0,0
bbd92355d0cd4af3af287c55fef1adb8,9,1,0,1,0,827,413.5,234,0,0,0,0,0
47516feeb8e5492fa635a64c62a072bd,9,1,0,1,0,533,533,204,0,0,0,0,0
bb642454e5e84d87bfa7bfdf57b60fae,8,3,0,2,0,291.6666667,291.6666667,208,0,0,0,0,0
72ec1e9c3145443b836494989901cd6d,8,1,0,1,0,685,342.5,200,0,0,0,0,0
db891e7b2584426ab0e796b743fd3b48,8,1,0,1,0,661,132.2,205,0,0,0,0,10
bb54e8888ca94fd7a42fc2cc6d5e2c90,7,3,0,3,0,465.3333333,93.06666667,650,0,0,0,0,27
88e69563c83e437a8d4669252603d0a8,7,1,0,1,0,775,387.5,163,0,0,0,0,0
ae29b8c254c34585ae6451419f98c132,7,1,0,1,0,688,688,175,0,0,0,0,0
66513399b608408a9ca48b8eada4e429,7,1,0,1,0,565,47.08333333,246,0,0,0,0,12
d6c62125481b4fb083a5cc6509f0b346,7,1,0,1,0,509,509,140,0,0,0,0,7
7725dc00e10e4de091fcf95504a2a8d5,7,1,0,1,0,507,253.5,190,0,0,0,0,0
281b139d84ce40569ed9d59b60364ef6,7,1,0,1,0,479,479,169,0,0,0,0,0
ecac770b15674642992152ce93a8d167,7,1,0,1,0,442,110.5,141,0,0,0,0,0
9dc909769b38484189c5a91416daf7b0,7,1,0,1,0,441,220.5,163,0,0,0,0,0
e7a002daad1942709ab54f8b3945d36e,7,1,0,0,0,2034,2034,333,0,0,0,0,14
874cf660bc1a4edaab33208c7950f354,6,4,0,2,1,1028.75,1028.75,223,0,0,0,0,4
0301b81b7a564fdc8e2871896b48606c,6,1,0,1,0,494,494,161,0,0,0,0,0
1fbdc633906e4dc7aeff2084042ccc9e,6,1,0,1,0,448,448,149,0,0,0,0,7
75ebd28b13f7420fa96ead0d5541b9ff,6,1,0,1,0,398,398,146,0,0,0,0,8
7c90051784f64129b8e02e43fa300f27,6,1,0,1,0,387,387,139,0,0,0,0,0
d5e5526e1d764de7b115c4a52e08ac1e,6,1,0,1,0,323,161.5,124,0,0,0,0,0
58b116d29de946db8c0edb4743d699fc,6,1,0,0,0,777,777,171,0,0,0,0,9
142513e1401a4614ba22ffe7609f670a,5,1,0,1,0,1965,1965,86,0,0,0,0,0
a1975687a91d406c9e523767396de2d3,5,1,0,1,0,1254,1254,151,0,0,0,0,0
45a6af88caa04b5c88b4b2f921a619da,5,1,0,1,0,797,398.5,155,0,0,0,0,7
2461309307404af4ab2b61d8b9b1d413,5,1,0,1,0,693,693,151,0,0,0,0,0
b8f5e39fed744d3cbc7359428ec7278c,5,1,0,1,0,536,536,125,0,0,0,0,0
4a79cfb6bfb946eba04c11837eeaf3f4,5,1,0,1,0,490,245,152,0,0,0,0,0
09a3d725d5b8456ea032af6d82f25ba4,5,1,0,1,0,382,382,124,0,0,0,0,0
ac4a4896fd534c30b42213ffccee8557,5,1,0,1,0,373,186.5,147,0,0,0,0,0
8d8abcbe0a2a46269eca97bba87c6d42,5,1,0,1,0,309,309,129,0,0,0,0,0
8a4f1802c5a74c17af493c351ffaf2a3,5,1,0,1,0,287,287,125,0,0,0,0,5
b42b77c4f35a47338c3ebc30955e3bf5,5,1,0,0,1,1690,845,233,0,0,0,0,8
3b66eeb14d414101acb8927745f8c660,5,1,0,0,0,376,125.3333333,84,0,0,0,0,0
353990386c164518a457eacb2b8d39bc,4,2,0,2,0,3196.5,3196.5,192,0,0,0,0,4
3cc8d6014e1a48459a05170dbf1a0e7b,4,2,0,0,1,2262.5,2262.5,283,0,0,0,0,7
d157a42424ee4fc9bb3899fa2a702206,4,1,0,1,0,285,285,102,0,0,0,0,0
4ef1e35131454e5895c6cfd823521449,4,1,0,1,0,241,241,96,0,0,0,0,0
9df3a09cfd9243eeb042b3eba610f97f,3,6,2,1,2,1827.333333,1827.333333,149,0,0,0,0,0
8fdf2fc2f14c4d3fbae5ce4581fbaac2,3,4,0,1,2,1144,1144,168,0,0,0,0,5
7723b622052b4cf393b5296dea8ed60f,3,3,0,3,0,260.3333333,260.3333333,51,0,0,0,0,0
8032d6cc0258466092f485d4434c3b93,3,2,0,2,0,531.5,118.1111111,62,0,1,0,1,0
9467a3f6765543958c0a450ab719a85d,3,2,0,1,1,2397,1598,47,0,0,0,0,1
f3036f6abb9f46b7a3f007f262b7a4eb,3,2,0,1,0,723,723,34,0,1,0,1,0
34da25170cca4b8fa0d7f7a5ffc120f3,3,2,0,1,0,63.5,31.75,91,0,0,0,0,0
6f31c00775484abb9a14701796fd8219,3,2,0,0,0,1038,1038,173,0,0,2,0,2
779896eb8ee34f92ac5c33f260d50caf,3,1,1,0,0,1861,1861,56,0,0,0,0,0
c024b38c80d24be38cd9ab504748898e,3,1,0,1,0,5601,5601,66,0,0,0,0,0
97341ce19da94af5b2f4e485c214992f,3,1,0,1,0,2175,1087.5,131,1,0,0,0,5
9797a38963154c9daf378b86700666ec,3,1,0,1,0,1821,910.5,7,0,0,0,0,0
0ade6eac959b4a01a9484ba20eab70ea,3,1,0,1,0,1651,117.9285714,62,0,0,0,0,0
ac5d560467074ef49c2727fe09b5d9c1,3,1,0,1,0,1650,1650,88,0,0,0,0,0
81d5c67fe73841f48b76940a6efa182e,3,1,0,1,0,1319,1319,94,0,0,0,0,1
f42af759e1d84477acd95c9e2f9f2e4f,3,1,0,1,0,1089,1089,40,0,0,0,0,0
97dda853101c4ff8b57cd76c8f288bd7,3,1,0,1,0,853,853,2,0,0,0,0,0
c5032e17d04a4d9680968160b79e91b6,3,1,0,1,0,634,634,25,0,0,0,0,0
97fd31fb473d4595be7a96da1012f535,3,1,0,1,0,597,597,20,0,0,0,0,0
f9bd652d762f449c93ef12ad647d8200,3,1,0,1,0,540,540,64,0,0,0,0,0
bbaed6479d5140afb79647a80dbdc7ef,3,1,0,1,0,366,366,91,0,0,0,0,0
aee53e0b6c9641f19ba054a4b8f9ee62,3,1,0,1,0,296,296,82,0,0,0,0,3
c4322bb86ebe48558f71d78225370acc,3,1,0,1,0,248,248,79,0,0,0,0,0
beb347fa08894abca1d03d7fc62ef5db,3,1,0,1,0,246,246,84,0,0,0,0,4
0668591e46a5487393253617fa76beb7,3,1,0,1,0,242,242,81,0,0,0,0,0
0a8e8136b37743d0ba64b6f5e03b190f,3,1,0,1,0,224,224,83,0,0,0,0,0
4013f29c4e8045bfa7f091cd08f63139,3,1,0,1,0,217,217,76,0,0,0,0,3
24b676f8f2ea4eac95c010f7d8e50fe4,3,1,0,0,1,6288,6288,133,0,0,0,0,0
1b735afd437347f9a157dd63502bc00e,3,1,0,0,1,3751,3751,91,0,0,0,0,0
b2cfd3f54c9948daac9099b6a4164b36,3,1,0,0,1,2085,1042.5,66,0,0,0,0,0
44173a8fd90b4721b5e0b4542a6c5fa1,3,1,0,0,1,1539,1539,109,0,0,0,0,5
ce0ca0d8ff06447ea8b9df4713e21713,3,1,0,0,1,1381,1381,63,0,1,1,1,0
42429e65fed34af3ab0b317ffa6b2579,3,1,0,0,1,426,426,9,0,0,0,0,0
74e6d32eac08437caba761ffe8271a05,3,1,0,0,0,7637,3818.5,165,0,0,0,0,0
9d8c0af7155546cabf8f100ea9be9cec,3,1,0,0,0,2610,2610,115,0,0,0,0,0
cc4b4d3de7c84abaa82a829e8340a340,3,1,0,0,0,2063,2063,54,0,0,0,0,0
b4c29f08f7fc41da8a68fced02e799df,3,1,0,0,0,1397,1397,45,0,0,0,0,0
daf52fae24dd4d4d92b7bf4b06fcfac6,2,6,2,2,1,958.6666667,958.6666667,202,0,0,0,0,0
b2a0d2bf721142b7a756375f0ba184d6,2,5,0,3,0,1438,1438,200,0,0,0,0,5
2e526937a27c400fafc0459748adfcfd,2,4,1,2,0,930.5,930.5,54,0,0,0,0,0
152869a8e42c4e7c9518f36116d47398,2,3,1,1,0,1630.666667,1630.666667,94,0,0,0,0,3
2616eeb582644f27a91247750d958ba9,2,3,0,2,1,646,646,41,0,0,0,0,0
bdd706a0f8e54886a377ffb694b681b5,2,3,0,2,1,400.3333333,300.25,86,0,0,0,0,0
4e526dca69764ec5837a0f3a94a59ac9,2,3,0,2,0,1310.666667,1310.666667,89,0,0,0,0,7
c11eb30c8a524097a22747180e27101a,2,3,0,2,0,1293,1293,122,0,0,0,0,0
fcb36adb81da4f47bd3f51d8ed8405d3,2,3,0,1,1,562.3333333,562.3333333,102,0,0,0,0,2
c89988d51a434b8c9faead1b114c88f3,2,3,0,1,1,154,28.875,90,0,0,0,0,3
99a638c33d624f9d8e1358f922e1da85,2,2,1,1,0,2812,2812,168,0,0,0,0,1
33e6fcfd0e5a4606935ef1e41855f45c,2,2,1,1,0,606.5,606.5,22,0,0,0,0,0
486fd9049d4344eeba0e5b8923f15553,2,2,1,1,0,580,386.6666667,82,0,0,0,0,1
383e1bfade7248168e76e091d07e9f02,2,2,1,1,0,479.5,479.5,56,0,0,0,0,0
a2c68bb7f5fc4c19be896d03ff050345,2,2,1,1,0,210,210,46,0,0,0,0,0
95c9086c561349cc98e163146eca12a2,2,2,1,0,1,2035.5,2035.5,91,0,0,0,0,1
23c33ac888cb4c8ca06e6ecd6dfbe43c,2,2,1,0,1,1975.5,1975.5,64,0,0,0,0,0
56e4208cc93e4de085dbecb8a12c2219,2,2,1,0,1,1621,1080.666667,98,0,0,0,0,0
6ff13190bd8840c7ba5a133eb084079f,2,2,1,0,1,1613.5,1613.5,77,0,0,0,1,0
8b86713749ff4e8793bcf6d7196114f5,2,2,1,0,1,1373,1373,88,1,1,1,1,1
5d27f255ccc84e1fa24dae01f9c6ac74,2,2,1,0,0,2549,2549,79,0,0,0,0,3
5df60bc488e5456dac18152f7657333e,2,2,1,0,0,621,621,184,0,0,0,0,0
d1e7aaf1b72f478a88e4c31dcc9d7338,2,2,1,0,0,435.5,435.5,98,0,0,0,0,1
b987efacecdd4610a436133c58cbde0d,2,2,0,2,0,2275.5,910.2,356,0,0,0,0,0
690ad520e3a5447d876e7da6f45eb295,2,2,0,2,0,2257.5,1505,101,0,0,0,0,5
2392fa936d93446091da78038aede0a1,2,2,0,2,0,2251.5,2251.5,116,0,0,0,0,6
d9e62640d8a5422d866c462195bd1dcc,2,2,0,2,0,1831.5,1221,52,0,0,0,0,1
b4ef06bbb00a4ed582d4a41d65177f7d,2,2,0,1,1,644.5,429.6666667,53,0,0,0,0,0
77e4ed17c9fd4f158fcec355ee509e74,2,2,0,1,1,418,418,15,0,0,0,0,0
169e9a7237c0493286e48d6db31ced70,2,2,0,1,1,371.5,371.5,51,0,0,0,0,1
65939be35d454ca6ae5431290b62b6e3,2,2,0,1,0,3099.5,3099.5,249,0,0,0,0,1
ffc258e95bcb49b4a54cd89bb0814d72,2,2,0,1,0,2198.5,1465.666667,260,0,0,0,0,9
759f100ff67e47828ca4e3418fa293ef,2,2,0,1,0,1525,1525,63,0,0,0,0,0
20105774d8de4f76ac6d48a9626d840d,2,2,0,1,0,1084.5,1084.5,96,0,0,0,0,2
2e1707449c254d6298470b664dc40350,2,2,0,1,0,696.5,696.5,47,0,0,0,0,0
f040d8cfd3c9445b9420304f0e185b2d,2,2,0,1,0,500.5,500.5,47,0,0,0,0,2
6daba5b57fc24e3eb5cc84cc180f369a,2,2,0,0,2,3861,3861,177,0,0,0,0,0
dc2c5ac4f1914cb69d4d0afd5e8d2f4b,2,2,0,0,2,1673.5,1673.5,77,0,0,0,0,0
d1ae421e23274eae97f6f1f200266836,2,2,0,0,2,1376,917.3333333,113,0,0,0,0,0
f6c872df94e5440d916a77bb8986aa9c,2,2,0,0,1,1131,754,119,0,0,0,0,0
d054503ae1b34709b028a97d08ed1652,2,2,0,0,1,1007,1007,91,0,1,0,0,1
d598e9fbaa0244768a21ed72eda5cd04,2,2,0,0,1,563.5,563.5,75,0,0,0,0,0
fbc48d5d91e54d22a8c4ae491a68130f,2,2,0,0,1,52,52,5,0,0,0,0,0
995adfb0e78d4028b1992d0527cdb85b,2,2,0,0,0,2351.5,2351.5,91,0,0,0,0,4
34784624e8c84c9190d717eeb6916b8a,2,2,0,0,0,1888.5,1888.5,77,0,0,0,0,1
bce6e7d4ca3e419a9dfcd3913c76efd3,2,2,0,0,0,1631,1631,166,0,0,0,0,0
5a0a22acf1b84724b23b5a78036bb6e2,2,2,0,0,0,1595.5,1063.666667,167,0,1,0,1,1
97d9ea0fac654f05adab52f212b26ee3,2,2,0,0,0,1087,543.5,28,0,0,0,0,0
aa2c4be2e00a4d748a137453616011bf,2,2,0,0,0,872,581.3333333,118,0,0,0,1,2
1f86811c1ef04f3690621c3298c2c424,2,1,1,0,0,5984,2992,132,0,0,0,0,0
3f0d613eaf5b43119abf980f424b5285,2,1,1,0,0,5455,5455,29,0,0,0,0,0
49dcd937e4b346ae831cacee785dd8b3,2,1,1,0,0,4991,1663.666667,161,0,1,0,0,0
6a3a4d1083dc4a6b997236dca7d46d26,2,1,1,0,0,3124,260.3333333,71,0,0,0,0,0
