AnonPuid,Product_new_group_update,tot_cnt,PI_Others,PI_Productivity_App,PI_Entertainment_App,PI_Casual_game,PI_Core_game,PI_Others_OperatingSystem,PI_Others_Pass,PI_MMTV,PI_Other_App,PI_Others_Device,PI_Others_Bundle,PI_Others_Music,tot_Usage_Engagement,Usage_Others,Usage_Productivity_App,Usage_Entertainment_App,Usage_Casual_game,Usage_Core_game,Usage_Others_OperatingSystem,Usage_Others_Pass,Usage_MMTV,Usage_Other_App,Usage_Others_Device,Usage_Others_Bundle,Usage_Others_Music
1,Others,3,1,0,0,0,0,0,0,0,0,0,0,0,3375,0,0,3375,0,0,0,0,0,0,0,0,0
2,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,300027096,0,7268661,9984,292642266,0,0,0,106185,0,0,0,0
3,Productivity_App,1,0,1,0,0,0,0,0,0,0,0,0,0,1558297,0,370781,1187516,0,0,0,0,0,0,0,0,0
4,Entertainment_App,13,0.923076923,0.384615385,0.461538462,0.230769231,0,0,0,0,0,0,0,0,46524503,0,11070747,12021833,9609,0,0,0,23422314,0,0,0,0
5,Others,18,0.5,0.222222222,0,0,0.277777778,0,0,0,0,0,0,0,589592,0,587733,1859,0,0,0,0,0,0,0,0,0
6,Entertainment_App,4,0.25,0,0.75,0,0,0,0,0,0,0,0,0,2673736,0,2356813,316923,0,0,0,0,0,0,0,0,0
7,Others,3,1,0,0.333333333,0,0,0,0,0,0,0,0,0,7923547,0,0,7923547,0,0,0,0,0,0,0,0,0
8,Others,8,0.875,0.125,0,0,0,0,0,0,0,0,0,0,44891,0,44891,0,0,0,0,0,0,0,0,0,0
9,Others,8,0.875,0.25,0.125,0,0,0,0,0,0,0,0,0,13638387,0,384296,13175545,78546,0,0,0,0,0,0,0,0
10,Others,8,0.875,0.125,0,0,0,0,0,0,0,0,0,0,2121341,0,32655,19031,0,0,0,2069655,0,0,0,0,0
11,Productivity_App,1,0,1,0,0,0,0,0,0,0,0,0,0,14013615,0,14013599,16,0,0,0,0,0,0,0,0,0
12,Others,25,1,0.04,0.08,0.04,0.68,0,0,0,0,0,0,0,13471655,0,2433859,603792,0,10434004,0,0,0,0,0,0,0
13,Others,5,0.6,0.4,0,0,0,0,0,0,0,0,0,0,59578832,0,1149874,2016,0,0,0,56115664,2311278,0,0,0,0
14,Others,23,0.869565217,0.086956522,0.086956522,0.304347826,0.043478261,0,0,0,0,0,0,0,76684790,0,14174728,6441016,56001811,0,0,0,67235,0,0,0,0
15,Others,12,1,0.166666667,0.083333333,0,0,0,0,0,0,0,0,0,5125815,0,391421,1059501,3674893,0,0,0,0,0,0,0,0
16,Others_Pass,3,0.666666667,1,0,0,0,0,0,0,0,0,0,0,81602704,0,5664936,75937768,0,0,0,0,0,0,0,0,0
17,Productivity_App,2,1,0,0,0,0,0,0,0,0,0,0,0,4788982,0,136468,308405,4344109,0,0,0,0,0,0,0,0
18,Others,9,0.222222222,0,0,0.777777778,0,0,0,0,0,0,0,0,296335367,0,1337970,29735356,265262041,0,0,0,0,0,0,0,0
19,Others,13,1,0,0,0,0,0,0,0,0,0,0,0,17266466,0,124844,17141622,0,0,0,0,0,0,0,0,0
20,Others,11,0.818181818,0.090909091,0,0.363636364,0,0,0,0,0,0,0,0,6759972,0,232720,2794544,3732708,0,0,0,0,0,0,0,0
21,Productivity_App,26,0.769230769,0.076923077,0.307692308,0.230769231,0.038461538,0,0,0,0,0,0,0,4627544,0,591044,4030203,0,0,0,4563,1734,0,0,0,0
22,Others,1,0,0,1,0,0,0,0,0,0,0,0,0,301311,0,189233,112078,0,0,0,0,0,0,0,0,0
23,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,21936909,0,199300,208109,21509469,0,0,0,20031,0,0,0,0
24,Entertainment_App,11,0.090909091,0.090909091,0.909090909,0,0,0,0,0,0,0,0,0,2358049,0,0,2358049,0,0,0,0,0,0,0,0,0
25,Others,5,1,0,0,0.2,0.2,0,0,0,0,0,0,0,1139390,0,136202,987204,0,0,0,0,15984,0,0,0,0
26,Others,11,0.090909091,0.363636364,0,0.454545455,0,0,0.181818182,0,0,0,0,0,72498752,0,14237203,19683657,38577892,0,0,0,0,0,0,0,0
27,Entertainment_App,12,0.75,0.333333333,0.25,0.083333333,0,0,0,0,0,0,0,0,5087931,0,5087931,0,0,0,0,0,0,0,0,0,0
28,Others,17,0.941176471,0.058823529,0.117647059,0,0,0,0,0,0.058823529,0,0,0,186084141,0,2105233,183978908,0,0,0,0,0,0,0,0,0
29,Others,38,1,0,0.657894737,0.105263158,0.026315789,0,0,0,0,0,0,0,1759927,0,1648989,110938,0,0,0,0,0,0,0,0,0
30,Others,11,0.727272727,0.090909091,0.090909091,0.454545455,0.090909091,0,0,0.090909091,0,0,0,0,18425732,0,11970,17875404,355359,0,0,182999,0,0,0,0,0
31,Others,4,1,0,0,0,0,0,0,0,0,0,0,0,450828,0,318564,132264,0,0,0,0,0,0,0,0,0
32,Others,75,0.973333333,0.213333333,0.12,0.36,0.106666667,0,0.013333333,0.026666667,0.053333333,0,0,0,15902607,0,1831001,9940498,4131108,0,0,0,0,0,0,0,0
33,Others,16,1,0,0,0,0,0,0,0,0,0,0,0,1240452,0,1240452,0,0,0,0,0,0,0,0,0,0
34,Others,1,1,0,0,0,1,0,0,0,0,0,0,0,42141,0,0,42141,0,0,0,0,0,0,0,0,0
35,Others,2,1,0.5,0,0,0,0,0,0,0,0,0,0,159684415,0,2344060,157076761,0,0,0,0,263594,0,0,0,0
36,Casual_game,11,0.545454545,0,0.454545455,0.181818182,0,0,0,0,0,0,0,0,2711427,0,330068,2381359,0,0,0,0,0,0,0,0,0
37,Others,6,1,0.333333333,0.166666667,0,0.333333333,0,0,0,0,0,0,0,8386880,0,1763594,5036315,0,0,0,1586971,0,0,0,0,0
38,Entertainment_App,21,0.714285714,0.047619048,0.476190476,0.285714286,0.095238095,0,0,0,0,0,0,0,52938010,0,652563,3716338,317890,48225516,0,0,25703,0,0,0,0
39,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,274814,0,274611,203,0,0,0,0,0,0,0,0,0
40,Productivity_App,2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1843049,0,127406,1633017,82626,0,0,0,0,0,0,0,0
41,Others,1,1,0,1,0,0,0,0,0,0,0,0,0,5835480,0,5835480,0,0,0,0,0,0,0,0,0,0
42,Others,4,1,0,0,0,0,0,0,0,0,0,0,0,74717939,0,220093,4907,74492939,0,0,0,0,0,0,0,0
43,Casual_game,43,0.906976744,0.11627907,0,0.651162791,0.093023256,0,0,0,0,0,0,0,303588310,0,7948031,33843770,261796509,0,0,0,0,0,0,0,0
44,Others,2,1,0,0,0,0,0,0,0,0,0,0,0,345018,0,340237,4781,0,0,0,0,0,0,0,0,0
45,Others,19,0.789473684,0,0.157894737,0.105263158,0.157894737,0,0,0,0,0,0,0,465998,0,2328,463670,0,0,0,0,0,0,0,0,0
46,Others,8,1,0,0.125,0,0,0,0,0,0,0,0,0,212219120,0,33413041,177320472,0,0,0,1455639,29968,0,0,0,0
47,Casual_game,14,0.785714286,0,0.214285714,0.142857143,0,0,0,0,0,0,0,0,45719301,0,1796130,444623,43478548,0,0,0,0,0,0,0,0
48,Others,1,0,0,0,1,0,0,0,0,0,0,0,0,51094,0,0,9423,41671,0,0,0,0,0,0,0,0
49,Others,14,0.857142857,0,0.071428571,0,0,0,0,0,0.071428571,0,0,0,46170179,0,2744375,10018942,33406862,0,0,0,0,0,0,0,0
50,Others,10,0.6,0,0.1,0.3,0.3,0,0,0,0,0,0,0,26591549,0,141859,26443221,6469,0,0,0,0,0,0,0,0
51,Casual_game,5,1,0.2,0,0.4,0,0,0,0,0,0,0,0,150824945,0,0,150824945,0,0,0,0,0,0,0,0,0
52,Others,5,1,0,0,0,0,0,0,0,0,0,0,0,55056066,0,1454011,10125,53591930,0,0,0,0,0,0,0,0
53,Others,9,0.666666667,0.222222222,0.777777778,0,0,0,0,0,0,0,0,0,5812,0,5812,0,0,0,0,0,0,0,0,0,0
54,Others,2,0,1,0,0,0,0,0,0,0,0,0,0,1213373,0,1213373,0,0,0,0,0,0,0,0,0,0
55,Entertainment_App,6,0.666666667,0.5,0,0.166666667,0,0,0,0,0,0,0,0,47585189,0,2461170,447236,38855456,0,0,0,5821327,0,0,0,0
56,Others,8,1,0,0,0,0,0,0,0,0,0,0,0,1839246,0,1783496,55750,0,0,0,0,0,0,0,0,0
57,Entertainment_App,1,1,0,0,0,0,0,0,0,0,0,0,0,1636892,0,210827,0,0,0,0,1426065,0,0,0,0,0
58,Others,51,0.823529412,0.058823529,0,0.215686275,0.156862745,0,0,0.058823529,0,0,0,0,2987321,0,205766,1719023,0,1062532,0,0,0,0,0,0,0
59,Others,8,0.625,0,0.375,0,0,0,0,0,0,0,0,0,104008811,0,650880,92171445,0,0,0,11121907,64579,0,0,0,0
60,Productivity_App,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,8750,0,8750,0,0,0,0,0,0,0,0,0,0
61,Others,3,1,0,0,0,0,0,0,0,0,0,0,0,662375,0,591750,69125,0,0,0,0,1500,0,0,0,0
62,Others,38,1,0.184210526,0,0.078947368,0,0,0.026315789,0,0,0.026315789,0,0,306404,0,0,306404,0,0,0,0,0,0,0,0,0
63,Others,7,0.571428571,0,0,0.714285714,0,0,0,0,0,0,0,0,19817030,0,85564,0,19731466,0,0,0,0,0,0,0,0
64,Others,1,0,0,1,0,0,0,0,0,0,0,0,0,3601478,0,212934,3388544,0,0,0,0,0,0,0,0,0
65,Others,5,0.8,0,0.2,0,0,0,0,0,0,0,0,0,870670,0,740137,130533,0,0,0,0,0,0,0,0,0
66,Others,11,1,0,0,0,0,0,0,0,0,0,0,0,2810641,0,1281,2809360,0,0,0,0,0,0,0,0,0
67,Entertainment_App,7,1,0,0,0,0,0,0,0,0,0,0,0,30312030,0,4751,30307279,0,0,0,0,0,0,0,0,0
68,Others,6,1,0.166666667,0,0.166666667,0.666666667,0,0,0,0,0,0,0,10030857,0,10657,616642,9338964,64594,0,0,0,0,0,0,0
69,Others,18,0.944444444,0,0,0.055555556,0.222222222,0,0.166666667,0,0,0,0,0,22035,0,19690,2345,0,0,0,0,0,0,0,0,0
70,Productivity_App,11,0.727272727,0.181818182,0.181818182,0,0,0,0.090909091,0,0,0,0,0,10876766,0,3880051,6764561,0,0,0,0,232154,0,0,0,0
71,Others,55,0.818181818,0.072727273,0.090909091,0.145454545,0.618181818,0.018181818,0.072727273,0,0,0,0,0,13107546,0,487544,3091159,0,9528843,0,0,0,0,0,0,0
72,Others,27,1,0,0,0.111111111,0.851851852,0,0,0,0,0,0,0,2118365,0,129732,218317,0,1520907,0,0,249409,0,0,0,0
73,Others,6,0.833333333,0.166666667,0,0,0,0,0,0,0,0,0,0,85603312,0,23593,45186,0,0,0,31903020,53631513,0,0,0,0
74,Productivity_App,10,1,0.2,0.2,0.3,0,0,0,0,0,0,0,0,12916735,0,9687952,3228783,0,0,0,0,0,0,0,0,0
75,Others,1,0,0,1,0,0,0,0,0,0,0,0,0,597279,0,37545,559734,0,0,0,0,0,0,0,0,0
76,Core_game,2,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,222592,0,222592,0,0,0,0,0,0,0,0,0,0
77,Others,2,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,23213196,0,82268,23130928,0,0,0,0,0,0,0,0,0
78,Others,5,1,0,0,0,0,0,0,0,0,0,0,0,18771125,0,10676060,79954,958955,7056156,0,0,0,0,0,0,0
79,Others,4,1,0.5,0.75,0,0,0.25,0,0,0,0,0,0,3157351,0,619209,2332018,0,0,0,0,206124,0,0,0,0
80,Core_game,5,0,0.2,0,0.2,0.6,0,0,0,0,0,0,0,8407297,0,155906,1140858,0,7110533,0,0,0,0,0,0,0
81,Others,5,1,0,0.2,0,0,0,0,0,0,0,0,0,6784877,0,2894458,3890419,0,0,0,0,0,0,0,0,0
82,Others_Operating System,7,0.857142857,0.142857143,0.428571429,0.142857143,0.142857143,0,0,0,0,0,0,0,121595,0,51126,70469,0,0,0,0,0,0,0,0,0
83,Productivity_App,3,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,2044985,0,1925751,119234,0,0,0,0,0,0,0,0,0
84,Others,1,1,0,1,0,0,0,0,0,0,0,0,0,306111,0,0,306111,0,0,0,0,0,0,0,0,0
85,Others,5,1,0,0,0,0,0,0,0,0,0,0,0,81844,0,75423,6421,0,0,0,0,0,0,0,0,0
86,Entertainment_App,3,1,0,0,0.333333333,0,0,0,0,0,0,0,0,1494213,0,574415,919798,0,0,0,0,0,0,0,0,0
87,Others,13,1,0,0,0.307692308,0,0,0,0.076923077,0,0,0,0,106674178,0,2959014,89270644,14444520,0,0,0,0,0,0,0,0
88,Others,7,0.714285714,0.428571429,0.142857143,0,0,0,0,0,0.142857143,0,0,0,17846893,0,17075190,771703,0,0,0,0,0,0,0,0,0
89,Others,3,1,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,621361,0,0,621361,0,0,0,0,0,0,0,0,0
90,Productivity_App,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,12671794,0,10119388,5062,2547344,0,0,0,0,0,0,0,0
91,Casual_game,17,1,0.117647059,0.058823529,0.235294118,0.411764706,0,0,0,0,0,0,0,71477577,0,700375,14840788,0,55660946,0,0,275468,0,0,0,0
92,Others,4,0.75,0.25,0,0.25,0,0,0,0,0,0,0,0,28971464,0,41422,27995245,934797,0,0,0,0,0,0,0,0
93,Productivity_App,1,1,0,0,0,0,0,0,0,0,0,0,0,1208733,0,809890,203,0,0,0,0,398640,0,0,0,0
94,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,389638,0,0,108,0,0,0,0,389530,0,0,0,0
95,Others_Pass,12,0.833333333,0,0,0.416666667,0.166666667,0,0,0,0,0.416666667,0,0,6682715,0,96345,4093215,2085796,407359,0,0,0,0,0,0,0
96,Productivity_App,3,0.333333333,0,1,0,0,0,0,0,0,0,0,0,6418348,0,5193739,1224609,0,0,0,0,0,0,0,0,0
97,Others,1,1,1,0,0,0,0,0,0,0,0,0,0,437,0,0,437,0,0,0,0,0,0,0,0,0
98,Core_game,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,10435,0,9968,467,0,0,0,0,0,0,0,0,0
99,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,1469,0,0,1469,0,0,0,0,0,0,0,0,0
100,Others,9,1,0.111111111,0.333333333,0.111111111,0,0,0,0.333333333,0,0,0,0,179750,0,0,179750,0,0,0,0,0,0,0,0,0
101,Others,4,1,0,0,0,0,0,0,0,0,0,0,0,61360,0,0,61360,0,0,0,0,0,0,0,0,0
102,Others,2,1,0,0,0,0,0,0,0,0,0,0,0,4250,0,4250,0,0,0,0,0,0,0,0,0,0
103,Casual_game,3,0.666666667,0.666666667,0.333333333,0.333333333,0.666666667,0,0,0,0,0,0,0,34059128,0,498784,6548,0,0,0,33553796,0,0,0,0,0
104,Others,3,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,2885959,0,1730771,980157,1516,0,0,173515,0,0,0,0,0
105,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,5187,0,5187,0,0,0,0,0,0,0,0,0,0
106,Others,2,1,0,0,0,0,0,0,0,0,0,0,0,609719,0,0,609719,0,0,0,0,0,0,0,0,0
107,Others,2,1,0,0,0,0,0,0,0,0,0,0,0,1637221,0,1626643,10578,0,0,0,0,0,0,0,0,0
108,Others,1,0,0,0,1,0,0,0,0,0,0,0,0,1903813,0,0,1344,1902469,0,0,0,0,0,0,0,0
109,Entertainment_App,4,0.75,0.25,0.5,0.25,0,0,0.25,0,0,0,0,0,1743740,0,331813,1223008,0,0,0,188919,0,0,0,0,0
110,Others,19,0.631578947,0.210526316,0.157894737,0.105263158,0.052631579,0,0,0,0.052631579,0,0,0,94487699,0,1816738,40921706,1828516,49659942,0,0,260797,0,0,0,0
111,Entertainment_App,4,0.25,0.25,0.75,0,0,0,0,0,0,0,0,0,4942140,0,645860,3871780,424500,0,0,0,0,0,0,0,0
112,Others,6,1,0,0,0.333333333,0.166666667,0,0.166666667,0,0,0,0,0,12605812,0,21406,212234,12333267,0,0,0,38905,0,0,0,0
113,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,468281,0,468281,0,0,0,0,0,0,0,0,0,0
114,Others,3,1,0,0,0,0,0,0,0,0,0,0,0,5188,0,0,5188,0,0,0,0,0,0,0,0,0
115,Others,1,0,0,1,0,0,0,0,0,0,0,0,0,38265,0,38265,0,0,0,0,0,0,0,0,0,0
116,Others,1,0,0,0,1,0,0,0,0,0,0,0,0,1921781,0,0,0,1921781,0,0,0,0,0,0,0,0
117,Others,2,1,0.5,0,0,0,0,0,0,0,0,0,0,2608718,0,2052139,81735,0,0,0,0,474844,0,0,0,0
118,Others,3,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,0,113031210,0,110125,110413194,2507891,0,0,0,0,0,0,0,0
119,Others,30,0.933333333,0.066666667,0.233333333,0.066666667,0.066666667,0,0,0,0.033333333,0.033333333,0,0,6947182,0,269469,6415104,0,0,0,0,262609,0,0,0,0
120,Others,2,1,0,0.5,0,0,0,0,0,0,0,0,0,1370405,0,258734,1111671,0,0,0,0,0,0,0,0,0
121,Others,14,0.857142857,0.071428571,0.142857143,0.214285714,0.142857143,0,0,0,0,0.071428571,0,0,19840032,0,210265,4568143,14146908,311436,0,0,603280,0,0,0,0
122,Core_game,18,0.722222222,0.166666667,0.388888889,0.055555556,0.222222222,0,0,0,0,0,0,0,8637482,0,360407,5310404,54187,2883627,0,0,28857,0,0,0,0
123,Entertainment_App,7,0.571428571,0.571428571,0.285714286,0,0.142857143,0,0,0,0,0,0,0,37679537,0,150501,30939910,6589126,0,0,0,0,0,0,0,0
124,Entertainment_App,8,0.5,0.375,0.375,0,0,0,0,0,0,0,0,0,9373756,0,2378252,6995504,0,0,0,0,0,0,0,0,0
125,Others,2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,5014284,0,339907,4674377,0,0,0,0,0,0,0,0,0
126,Productivity_App,3,0.666666667,0,1,0.333333333,0,0,0,0,0,0,0,0,1188916,0,3344,1185572,0,0,0,0,0,0,0,0,0
